eta_10_mv,dissolution_ug_per_cm2_per_h,stability_score,x_Mn,x_Fe,x_Co,x_Ni,x_Cr,x_V,x_W,x_Mo,x_Ti,eta_norm,diss_norm,composite_score
331.2,18.066,0.561,0.612,0.01,0.021,0.0,0.007,0.004,0.317,0.027,0.001,0.0,0.008410150469924363,0.004205075234962182
335.2,12.392,0.551,0.447,0.0,0.031,0.129,0.004,0.002,0.224,0.002,0.161,0.01377884941860541,0.003915971362149751,0.008847410390377581
340.7,10.36,0.616,0.223,0.002,0.008,0.001,0.01,0.023,0.731,0.001,0.003,0.03272476736918785,0.002306494459259723,0.017515630914223784
343.9,15.78,0.56,0.295,0.0,0.134,0.006,0.001,0.045,0.507,0.001,0.01,0.04374784690407214,0.006599488954173083,0.02517366792912261
345.0,17.748,0.571,0.569,0.021,0.003,0.002,0.01,0.012,0.378,0.005,0.001,0.047537030494188705,0.008158273671145315,0.02784765208266701
353.2,13.468,0.582,0.402,0.008,0.005,0.053,0.028,0.013,0.332,0.018,0.14,0.07578367180232976,0.0047682337378926985,0.04027595277011123
359.6,12.97,0.589,0.291,0.021,0.008,0.056,0.001,0.001,0.608,0.002,0.012,0.09782983087209852,0.004373785166219848,0.05110180801915919
360.3,12.989,0.601,0.39,0.006,0.004,0.006,0.01,0.005,0.511,0.013,0.054,0.10024112952035444,0.004388834408914194,0.05231498196463431
355.5,36.798,0.558,0.093,0.182,0.0,0.0,0.005,0.085,0.578,0.032,0.024,0.0837065102180279,0.023247119635739322,0.05347681492688361
363.9,20.5,0.551,0.057,0.005,0.0,0.075,0.554,0.045,0.244,0.002,0.017,0.11264209399709918,0.010338037665610549,0.06149006583135486
355.8,59.138,0.555,0.145,0.006,0.174,0.026,0.055,0.012,0.55,0.028,0.003,0.08473992392442335,0.04094186078267003,0.06284089235354669
374.0,16.393,0.559,0.366,0.005,0.04,0.077,0.062,0.001,0.442,0.0,0.006,0.14743368877907792,0.007085025047416976,0.07725935691324745
375.3,15.475,0.576,0.492,0.053,0.0,0.002,0.008,0.016,0.397,0.001,0.031,0.15191181484012473,0.006357909005658587,0.07913486192289165
369.6,43.043,0.527,0.787,0.028,0.002,0.0,0.072,0.0,0.032,0.067,0.011,0.13227695441861206,0.028193568089749273,0.08023526125418066
380.3,10.591,0.576,0.437,0.002,0.022,0.003,0.006,0.077,0.297,0.012,0.144,0.1691353766133815,0.0024894615678067687,0.08581241909059413
380.2,15.168,0.555,0.427,0.0,0.021,0.002,0.016,0.007,0.319,0.161,0.046,0.16879090537791627,0.006114744926334158,0.08745282515212521
379.7,19.003,0.551,0.582,0.023,0.012,0.0,0.293,0.002,0.008,0.004,0.077,0.16706854920059058,0.009152315754377098,0.08811043247748385
380.6,20.354,0.555,0.225,0.009,0.001,0.002,0.0,0.009,0.366,0.3,0.088,0.17016879031977694,0.010222396116485576,0.09019559321813125
383.1,31.375,0.569,0.068,0.001,0.079,0.001,0.016,0.156,0.638,0.005,0.034,0.1787805712064053,0.018951748944611064,0.09886616007550819
388.1,16.94,0.557,0.686,0.0,0.0,0.003,0.023,0.027,0.258,0.001,0.001,0.19600413297966207,0.00751828482393314,0.1017612089017976
